AGE,GENDER,OCCUPATION:,INCOME (RM XXXX):,MARITAL STATUS,What is your travelling duration?,Why you usually travel?,What is your budget for travelling?,How long do you plan for your travel?,Usually where do you plan to stay?,Travelling frequency,Travelling Transportation,Do you prefer using tour guide?,Do you prefer travelling local or overseas?,Language preferences,Do you prefer solo or group travel?
19,Male,Student,0,Single,2,1,RM1000 - RM1500,1,AirBnB,0,3,Yes,Overseas,1,Group
22,Male,Student,0,Single,0,2,below RM1000,0,Hotel,0,0,No,Local,0,Solo
25,Male,Technician,3400,Single,1,2,RM1000 - RM1500,0,Campsite,1,1,Yes,Local,1,Solo
26,Male,nurse,3500,Single,0,1,below RM1000,1,Campsite,1,1,No,Overseas,1,Solo
39,Female,Baker,4500,Single,1,2,RM1500 - RM2000,2,Family House,1,3,No,Overseas,1,Solo
33,Male,CEO,500000,Married,2,3,RM2500 - RM3000,2,Family House,0,3,No,Overseas,1,Group
30,Female,Twitch streamer,8000,Single,0,1,RM1000 - RM1500,3,AirBnB,1,1,No,Overseas,0,Group
24,Female,Student,0,Single,0,1,below RM1000,0,Hotel,0,0,No,Local,0,Group
22,Female,Student,1000,Single,0,1,below RM1000,0,Hotel,0,2,No,Local,0,Group
21,Male,STUDENT,0,Married,0,2,below RM1000,0,Hotel,0,0,No,Local,0,Solo
21,Female,Student,0,Single,0,1,below RM1000,0,Hotel,1,0,No,Local,0,Group
27,Female,Lecturer,5000,Single,0,1,RM1000 - RM1500,0,Homestay,1,0,No,Overseas,1,Group
43,Male,Yoga instructor ,3290,Single,2,3,RM1000 - RM1500,0,Hotel,2,1,Yes,Overseas,1,Solo
21,Male,Student,100,Single,0,2,below RM1000,0,AirBnB,1,2,No,Local,0,Solo
57,Male,CEO,1000000,Married,1,2,More than RM3000,3,Hotel,1,1,No,Local,1,Solo
33,Male,Police ,7800,Married,2,3,RM2500 - RM3000,0,Family House,0,2,No,Overseas,1,Solo
32,Male,Journalists ,9000,Married,1,1,RM1000 - RM1500,1,Homestay,0,0,No,Local,1,Solo
23,Male,student,1200,Single,0,1,RM1000 - RM1500,0,Hotel,1,0,No,Local,0,Solo
43,Male,Scientist,120000,Married,1,1,below RM1000,3,Campsite,0,1,Yes,Overseas,2,Group
21,Male,STUDENT,0,Married,0,2,below RM1000,0,Hotel,0,0,No,Local,0,Solo
19,Female,Athletes ,7000,Single,2,2,RM2000 - RM2500,3,Hotel,2,2,No,Local,1,Group
24,Female,Associate in EY,4500,Single,2,2,RM2500 - RM3000,2,AirBnB,0,3,Yes,Overseas,1,Group
22,Female,student,2000,Single,0,2,below RM1000,0,Homestay,1,2,No,Local,0,Solo
27,Male,Engineer,3500,Single,0,0,RM1000 - RM1500,1,AirBnB,0,3,No,Overseas,1,Group
21,Male,STUDENT,0,Single,1,3,below RM1000,0,AirBnB,0,0,No,Local,0,Solo
23,Male,student,1000,Single,0,2,below RM1000,1,Hotel,1,2,No,Local,0,Solo
24,Male,Lawyer,7680,Single,1,2,RM1000 - RM1500,2,Hotel,1,3,No,Overseas,1,Solo
21,Female,Student,0,Single,0,0,RM1000 - RM1500,4,Homestay,1,2,Yes,Local,0,Group
40,Female,Coway,4500,Married,0,0,RM1500 - RM2000,2,Homestay,1,2,No,Overseas,0,Group
28,Female,Lecturer,4500,Married,0,3,RM1000 - RM1500,0,Homestay,1,0,No,Local,1,Group
27,Male,Engineer,3500,Single,0,0,RM1000 - RM1500,1,AirBnB,0,3,No,Overseas,1,Group
34,Male,Librarian,16435,Married,1,0,RM2000 - RM2500,2,Hotel,2,1,No,Overseas,0,Group
25,Male,Accountant,5000,Single,1,2,RM2500 - RM3000,1,Hotel,1,3,No,Overseas,1,Solo
24,Male,Student,0,Single,1,3,below RM1000,1,Hotel,0,0,No,Local,0,Group
36,Male,Footballer,10000,Married,2,2,More than RM3000,3,Homestay,2,3,No,Local,0,Group
22,Female,Student,0,Single,0,1,below RM1000,0,Hotel,0,0,No,Local,0,Group
39,Male,Sports personality ,9000,Married,0,3,RM1500 - RM2000,4,Hotel,0,0,No,Local,0,Group
24,Female,Student,0,Single,0,1,below RM1000,0,Hotel,0,0,No,Local,0,Group
28,Female,Lecturer,4500,Married,0,3,RM1000 - RM1500,0,Homestay,1,0,No,Local,1,Group
37,Female,Nurse,110000,Single,1,2,RM2000 - RM2500,2,Family House,1,2,No,Local,1,Group
18,Female,Student,600,Single,0,3,below RM1000,0,Hotel,0,2,No,Overseas,1,Group
31,Male,Karate teacher,6000,Married,0,1,RM1500 - RM2000,1,Family House,0,1,No,Local,1,Solo
19,Male,Student,0,Single,0,1,RM1000 - RM1500,1,Hotel,1,0,No,Local,1,Group
22,Male,Student,0,Single,0,3,below RM1000,1,Hotel,0,0,No,Local,0,Solo
20,Female,Grab rider,3100,Single,1,0,RM1000 - RM1500,1,AirBnB,1,1,No,Overseas,0,Group
46,Male,Snr manager,15000,Married,1,1,RM1500 - RM2000,0,Hotel,1,0,No,Overseas,0,Group
31,Male,Teacher,5000,Single,0,1,RM1000 - RM1500,1,Homestay,1,1,No,Local,0,Solo
32,Female,Editor,2500,Single,0,2,below RM1000,0,AirBnB,0,0,No,Local,0,Solo
27,Female,Bussiness woman,4000,Married,0,1,below RM1000,1,AirBnB,1,0,No,Local,0,Group
22,Male,Student,0,Single,1,1,RM1000 - RM1500,1,Hotel,1,3,No,Local,1,Group
23,Female,Student,0,Single,1,2,below RM1000,1,Family House,0,2,No,Local,0,Solo
45,Female,Politician,4500,Single,2,2,RM2000 - RM2500,0,Hotel,1,3,Yes,Overseas,2,Group
21,Male,Student,800,Single,1,1,below RM1000,4,AirBnB,1,2,No,Overseas,1,Group
26,Male,Fireman,2500,Married,0,1,below RM1000,1,Homestay,0,0,No,Local,0,Group
24,Male,Student,0,Single,1,3,below RM1000,1,Hotel,0,0,No,Local,0,Group
40,Male,Bussiness Man,8900,Married,1,1,RM1500 - RM2000,2,Hotel,1,3,No,Overseas,1,Solo
26,Male,Student ,0,Single,0,1,RM1000 - RM1500,0,Homestay,1,0,No,Local,0,Group
31,Female,Postman ,4100,Single,1,1,RM1000 - RM1500,1,Family House,0,1,No,Overseas,0,Solo
21,Female,Baker,1500,Single,1,0,RM1000 - RM1500,1,Hotel,2,0,No,Local,1,Solo
23,Male,STUDENT,0,Married,0,2,below RM1000,0,Hotel,1,2,No,Local,0,Solo
21,Female,Student,0,Single,0,2,below RM1000,1,AirBnB,0,2,No,Local,0,Solo
30,Female,Teacher,3000,Single,0,2,below RM1000,0,AirBnB,1,0,No,Local,0,Group
21,Female,Student,0,Single,1,1,RM2500 - RM3000,2,Hotel,1,3,No,Overseas,1,Group
21,Female,Student ,100,Single,1,1,RM1000 - RM1500,1,AirBnB,1,0,No,Local,1,Group
19,Female,Student,400,Single,1,1,RM1500 - RM2000,1,Hotel,0,3,Yes,Overseas,1,Group
28,Male,Lawyer,5900,Married,0,1,RM1500 - RM2000,1,Hotel,1,1,Yes,Overseas,1,Solo
39,Male,dentist,3400,Married,0,1,below RM1000,3,Campsite,1,2,No,Local,0,Group
22,Male,Student,0,Single,0,1,below RM1000,1,AirBnB,0,0,No,Local,0,Group
50,Female,Teacher,5000,Married,0,2,RM1000 - RM1500,1,Family House,1,0,No,Local,0,Solo
21,Female,Student,700,Single,0,1,below RM1000,1,AirBnB,2,1,Yes,Local,1,Solo
22,Female,BACHELOR,100,Single,1,2,RM1500 - RM2000,1,Homestay,0,0,No,Local,0,Group
46,Female,Housewife,500,Married,1,1,RM1500 - RM2000,0,Hotel,0,2,Yes,Local,0,Group
19,Male,Student,0,Single,1,2,below RM1000,0,Hotel,0,0,Yes,Overseas,0,Group
57,Female,Teacher,6000,Married,0,3,below RM1000,0,Hotel,1,0,No,Local,0,Solo
46,Male,Clerk ,3500,Married,1,1,RM2000 - RM2500,1,Hotel,0,3,Yes,Local,0,Group
23,Male,student,1500,Single,0,3,below RM1000,0,Family House,0,2,No,Local,0,Solo
28,Male,Accountant,3800,Single,1,1,RM1500 - RM2000,1,AirBnB,0,0,No,Local,0,Group
22,Male,Youtuber,4500,Single,0,1,RM1000 - RM1500,2,AirBnB,1,3,Yes,Overseas,0,Solo
22,Male,student,1000,Single,1,2,below RM1000,0,Campsite,0,1,No,Local,0,Solo
19,Female,student,100,Single,1,0,below RM1000,0,Homestay,1,2,No,Local,0,Solo
21,Male,Student,500,Single,0,0,RM1000 - RM1500,0,Hotel,0,0,No,Local,1,Group
21,Female,Student,0,Single,1,1,RM1000 - RM1500,1,Hotel,1,0,No,Overseas,0,Group
22,Male,Student,0,Single,0,3,below RM1000,1,Hotel,0,0,No,Local,0,Solo
28,Male,Computer Programmer,4500,Single,0,0,RM1000 - RM1500,0,Hotel,0,0,Yes,Overseas,1,Solo
27,Male,Engineer,3500,Single,0,0,RM1000 - RM1500,1,AirBnB,0,3,No,Overseas,1,Group
22,Female,Student,0,Single,0,1,below RM1000,0,Hotel,0,0,No,Local,0,Group
32,Male,Cleaners ,2100,Single,1,2,RM1500 - RM2000,1,AirBnB,1,0,No,Local,0,Solo
16,Female,Student ,0,Single,2,0,More than RM3000,1,Homestay,0,3,Yes,Overseas,1,Group
22,Female,Student,200,Single,0,4,below RM1000,4,AirBnB,1,0,No,Local,0,Group
23,Male,Student,0,Single,0,0,below RM1000,0,Hotel,0,0,No,Local,0,Group
21,Female,Student,1000,Single,1,1,RM2000 - RM2500,1,Homestay,0,0,No,Local,1,Group
23,Male,Student,800,Single,0,1,below RM1000,0,AirBnB,1,0,Yes,Local,0,Group
21,Male,STUDENT,0,Single,1,2,below RM1000,1,Hotel,0,2,No,Local,0,Solo
23,Female,Student,0,Single,0,2,below RM1000,0,Hotel,0,0,No,Local,0,Solo
56,Female,Salesperson,5900,Married,2,0,RM1500 - RM2000,0,Hotel,1,1,No,Overseas,1,Solo
21,Female,Student,0,Single,1,1,More than RM3000,1,AirBnB,1,0,No,Local,1,Group
32,Male,Farmer,3100,Married,0,1,below RM1000,2,Family House,0,0,No,Local,0,Solo
37,Female,Xchef,5700,Married,1,1,RM2000 - RM2500,0,AirBnB,2,4,Yes,Overseas,2,Group
21,Male,STUDENT,0,Married,0,2,below RM1000,0,Hotel,0,0,No,Local,0,Solo
26,Male,Office Worker,3100,Single,1,2,below RM1000,0,Hotel,0,0,No,Local,1,Solo
23,Male,Student,0,Single,0,0,below RM1000,1,AirBnB,0,2,No,Local,0,Solo
24,Male,Student,0,Single,0,1,below RM1000,0,AirBnB,0,0,No,Local,0,Solo
47,Male,Discord mod,5000,Married,0,1,RM1000 - RM1500,0,Hotel,0,1,No,Overseas,0,Group
22,Female,Student,0,Single,0,1,below RM1000,0,Hotel,0,0,No,Local,0,Group
18,Male,Student,0,Single,1,2,RM1000 - RM1500,1,AirBnB,0,3,Yes,Overseas,0,Solo
24,Male,student,1300,Single,0,0,below RM1000,0,AirBnB,0,0,No,Local,0,Solo
44,Male,Historian,8000,Single,0,1,RM1500 - RM2000,1,Family House,1,0,No,Local,1,Group
43,Male,Data Analyst ,56000,Married,2,2,RM2000 - RM2500,2,Hotel,2,3,Yes,Local,0,Group
27,Female,Librarial,6000,Married,1,1,RM1000 - RM1500,2,Campsite,1,2,Yes,Overseas,1,Solo
22,Female,Student,0,Single,0,1,below RM1000,1,Homestay,1,0,Yes,Local,0,Group
43,Female,Train conductor,3800,Single,2,1,RM1000 - RM1500,1,AirBnB,2,1,No,Local,2,Group
24,Female,Staff Nurse,2000,Single,1,1,below RM1000,0,Homestay,0,0,Yes,Overseas,1,Group
30,Female,Secretary,2800,Married,0,0,RM2000 - RM2500,1,Campsite,1,1,No,Overseas,0,Group
30,Female,Yoga teacher ,4500,Single,2,3,RM2000 - RM2500,3,Campsite,2,3,Yes,Overseas,1,Group
21,Female,Student,400,Single,0,0,below RM1000,0,AirBnB,1,0,No,Local,0,Group
41,Female,Traveler,2000,Married,1,1,RM2000 - RM2500,1,Campsite,2,1,Yes,Local,1,Solo
21,Female,Student,0,Single,0,1,below RM1000,1,Homestay,1,0,No,Local,0,Group
24,Female,Assistant Architect,2600,Single,2,1,More than RM3000,3,AirBnB,0,3,No,Overseas,1,Group
21,Female,Student,750,Single,0,1,below RM1000,1,AirBnB,0,0,No,Local,0,Group
18,Male,Student,600,Married,0,1,below RM1000,2,Family House,0,1,No,Local,1,Group
25,Male,Software Engineer,3500,Single,0,0,RM1000 - RM1500,0,Hotel,0,0,No,Local,0,Solo
42,Male,Programmers ,10000,Married,0,1,below RM1000,1,Campsite,1,1,No,Local,2,Solo
26,Male,teacher,3000,Single,0,1,RM1000 - RM1500,1,Hotel,0,3,No,Overseas,1,Solo
25,Male,Data Analyst,4000,Single,0,0,RM1000 - RM1500,0,Hotel,1,0,No,Local,0,Solo
38,Male,Cleaner,3000,Married,1,0,RM1000 - RM1500,1,AirBnB,0,1,Yes,Local,0,Group
22,Male,Student,0,Single,0,1,below RM1000,1,AirBnB,0,0,No,Local,0,Group
24,Female,Student ,0,Single,1,3,RM1000 - RM1500,2,Family House,1,0,No,Local,0,Group
26,Male,Engineer,3000,Single,1,1,RM1000 - RM1500,1,Hotel,1,2,No,Overseas,0,Group
20,Female,clerk,1200,Single,1,1,RM1000 - RM1500,1,Hotel,1,0,No,Overseas,1,Solo
21,Male,Student,0,Single,1,1,RM1500 - RM2000,1,AirBnB,0,3,No,Overseas,0,Group
45,Female,Clerk,3000,Married,0,3,below RM1000,0,Hotel,1,0,No,Local,0,Solo
78,Female,Farmer,4500,Single,0,3,below RM1000,0,Family House,0,0,No,Overseas,0,Solo
23,Male,student,1000,Single,0,1,below RM1000,0,Family House,0,1,No,Local,1,Solo
35,Female,Lecturer,5500,Married,0,0,below RM1000,0,Hotel,1,0,No,Local,0,Group
40,Female,Salespeople ,29000,Married,0,3,RM2000 - RM2500,2,Family House,1,0,Yes,Overseas,1,Group
21,Female,Student,150,Single,0,3,RM1000 - RM1500,1,Hotel,0,0,No,Local,0,Group
28,Female,Lecturer,4500,Married,0,3,RM1000 - RM1500,0,Homestay,1,0,No,Local,1,Group
26,Male,Teacher,3000,Single,0,1,below RM1000,0,Hotel,1,0,No,Local,0,Group
45,Male,Athlete,4500,Married,1,0,RM1500 - RM2000,1,Hotel,1,3,Yes,Overseas,1,Group
41,Male,Grab rider,4300,Single,1,0,RM1000 - RM1500,0,Hotel,0,1,Yes,Local,1,Solo
23,Male,Student,0,Single,0,1,below RM1000,1,Family House,0,0,No,Local,0,Group
34,Male,Programmers ,6800,Single,1,1,RM2000 - RM2500,1,Hotel,1,1,Yes,Overseas,1,Solo
22,Male,Student,0,Single,0,1,below RM1000,1,Hotel,0,0,No,Local,0,Group
23,Female,Student,0,Single,0,1,below RM1000,0,AirBnB,0,0,No,Local,0,Group
24,Male,student,1000,Single,0,1,below RM1000,0,Homestay,1,2,No,Local,0,Solo
40,Female,Teacher,5000,Married,0,0,RM1000 - RM1500,0,Hotel,1,0,No,Local,0,Solo
33,Male,Astronaut,9000,Married,0,0,RM1000 - RM1500,3,AirBnB,2,1,Yes,Local,1,Group
32,Female,designer,5000,Single,1,0,More than RM3000,1,Hotel,1,3,No,Overseas,1,Solo
32,Male,Farmer,3100,Married,0,1,below RM1000,2,Family House,0,0,No,Local,0,Solo
30,Female,Musician ,6000,Married,0,1,RM1000 - RM1500,1,AirBnB,1,1,No,Local,1,Solo
23,Male,student,1000,Single,0,1,RM1000 - RM1500,0,Family House,1,1,No,Local,0,Solo
23,Male,student,1000,Single,0,2,below RM1000,1,Homestay,0,2,No,Local,0,Solo
30,Male,Architect,6500,Single,0,2,RM1000 - RM1500,0,Hotel,1,3,No,Overseas,1,Solo
21,Male,Student,2000,Single,1,1,RM1500 - RM2000,1,AirBnB,0,2,No,Overseas,1,Group
27,Male,Gamer,5200,Single,1,1,RM1000 - RM1500,1,Hotel,2,3,Yes,Overseas,0,Solo
25,Male,Data Analyst,4000,Single,0,0,RM1000 - RM1500,0,Hotel,1,0,No,Local,0,Solo
23,Female,Tealive cashier,2500,Single,1,3,RM1500 - RM2000,0,Homestay,0,0,No,Local,1,Group
21,Male,Student,0,Single,0,1,below RM1000,1,AirBnB,0,4,No,Local,0,Group
26,Female,Quantity surveyor,3000,Married,1,2,RM1000 - RM1500,0,AirBnB,1,2,No,Local,1,Solo
23,Male,STUDENT,0,Married,0,3,below RM1000,0,Hotel,1,2,No,Local,0,Group
40,Male,Government ,4000,Married,1,3,RM2500 - RM3000,0,Hotel,1,0,No,Local,0,Group
21,Male,Student,0,Single,0,1,below RM1000,1,Hotel,3,2,Yes,Local,0,Group
22,Male,Student,0,Single,0,3,below RM1000,1,Hotel,0,0,No,Local,0,Solo
30,Male,Footballer,12000,Married,2,2,RM2000 - RM2500,2,Hotel,2,3,No,Overseas,1,Group
22,Male,STUDENT,0,Single,0,1,RM1000 - RM1500,1,AirBnB,0,3,No,Overseas,1,Solo
28,Male,Firefighters ,3900,Married,0,2,RM1500 - RM2000,1,Family House,2,3,No,Local,1,Group
26,Male,Auditor ,3000,Single,1,1,RM2500 - RM3000,2,AirBnB,1,3,No,Overseas,1,Group
24,Female,Student,0,Single,0,1,below RM1000,0,Hotel,0,0,No,Local,0,Group
21,Male,STUDENT,0,Married,0,2,below RM1000,0,Hotel,0,0,No,Local,0,Solo
24,Male,student,1200,Single,0,2,below RM1000,1,Hotel,1,2,No,Local,0,Solo
29,Male,Stand up comedian,20000,Single,1,0,RM1500 - RM2000,1,Homestay,1,0,No,Overseas,1,Group
21,Male,student,500,Single,0,1,below RM1000,1,Homestay,0,1,No,Local,0,Solo
22,Male,Foodpanda rider,3000,Single,1,2,RM1500 - RM2000,0,Campsite,1,1,Yes,Overseas,0,Group
21,Male,student,1222,Single,1,0,below RM1000,0,Family House,1,2,No,Local,0,Solo
22,Female,Student,0,Single,0,1,RM1000 - RM1500,1,Hotel,1,0,No,Local,0,Group
33,Male,Doctor,5500,Married,1,3,RM1000 - RM1500,0,Hotel,1,0,No,Overseas,1,Group
26,Male,Fireman,2500,Married,0,1,below RM1000,1,Homestay,0,0,No,Local,0,Group
52,Female,House wife,0,Married,0,1,RM1500 - RM2000,1,Hotel,0,0,No,Local,0,Group
35,Male,Teacher,4000,Married,1,2,RM2000 - RM2500,1,Homestay,0,3,Yes,Overseas,1,Group
46 years ,Female,Nurse,4000,Married,1,1,RM2000 - RM2500,2,Homestay,0,0,No,Local,0,Group
34,Male,Grab driver,3500,Married,0,2,below RM1000,0,Hotel,1,1,No,Local,0,Solo
25,Female,Whatsapp admin,6000,Married,0,0,RM1000 - RM1500,0,Homestay,2,1,No,Overseas,1,Group
20,Female,Wattpad writer ,4000,Single,0,3,RM1000 - RM1500,3,Family House,2,0,Yes,Overseas,1,Group
48,Female,Nurse Supervisor,7200,Married,3,1,RM1000 - RM1500,1,Homestay,1,0,No,Local,0,Group
18,Male,Business ,300,Single,2,2,RM2500 - RM3000,0,AirBnB,0,2,No,Overseas,1,Solo
23,Male,Student,0,Single,0,0,below RM1000,0,Hotel,0,0,No,Local,0,Group
30,Female,Chef,3600,Married,0,0,RM1500 - RM2000,0,Homestay,0,3,Yes,Overseas,1,Group
48,Female,Nurse,5000,Married,1,1,RM2000 - RM2500,1,Hotel,1,3,Yes,Overseas,1,Group
26,Male,Student,0,Single,1,3,below RM1000,0,Family House,0,0,No,Local,0,Group
30,Male,Teachet,4500,Single,0,2,RM1500 - RM2000,0,AirBnB,1,3,Yes,Overseas,1,Solo
34,Female,Florist ,2007,Married,2,3,below RM1000,1,Homestay,0,1,No,Overseas,0,Solo
46,Female,Home baker,1000,Married,0,1,below RM1000,0,Hotel,0,2,No,Local,0,Group
21,Female,Student,0,Single,2,2,below RM1000,1,Hotel,3,4,No,Overseas,1,Solo
21,Male,Student,600,Single,0,2,below RM1000,0,AirBnB,1,0,No,Local,0,Solo
20,Male,Imstafamous,3000,Single,2,1,below RM1000,0,Family House,1,0,No,Local,0,Group
19,Male,Gamer,4590,Single,1,2,below RM1000,2,Family House,1,3,Yes,Overseas,1,Group
22,Male,Unemployed ,500,Single,1,2,below RM1000,1,AirBnB,0,3,No,Overseas,1,Solo
22,Male,Student,0,Single,0,1,below RM1000,1,Hotel,0,0,No,Local,0,Group
33,Male,teacher,4000,Married,1,3,below RM1000,0,Family House,2,0,No,Local,1,Group
22,Female,Student,0,Single,0,2,below RM1000,1,Homestay,0,2,No,Local,0,Solo
27,Male,Teacher,6000,Single,0,3,RM1000 - RM1500,0,Hotel,1,0,No,Local,0,Solo
47,Female,Nurse,7700,Married,1,1,RM2500 - RM3000,1,Hotel,1,0,No,Overseas,1,Group
19,Female,Student,500,Single,0,1,below RM1000,0,Homestay,0,2,No,Local,0,Group
21,Male,student,1000,Single,0,1,below RM1000,1,Homestay,0,1,No,Local,0,Solo
46,Female,Clerk,2000,Married,0,1,RM1000 - RM1500,1,Homestay,1,0,No,Local,0,Group
37,Female,Librarian,3000,Married,1,3,RM1000 - RM1500,1,Hotel,1,3,Yes,Local,1,Solo
47,Female,Actress,4900,Married,1,0,RM2500 - RM3000,0,Hotel,2,1,Yes,Local,1,Solo
48,Female,Integrated Wellness Consultant ,8000,Married,2,3,More than RM3000,2,AirBnB,1,3,No,Overseas,1,Solo
54,Male,Teacher,3470,Married,1,1,RM1000 - RM1500,1,Homestay,1,2,No,Local,0,Solo
21,Female,Student ,0,Single,0,3,RM1000 - RM1500,0,Hotel,1,0,No,Local,1,Group
21,Male,Student,0,Single,0,1,below RM1000,0,Homestay,1,0,No,Local,1,Group
23,Male,Student,0,Single,0,1,below RM1000,1,Family House,0,0,No,Local,0,Group
45,Female,Cleaner,1200,Married,0,3,below RM1000,1,Family House,0,2,No,Local,0,Group
72,Male,Prime Minister,30000,Married,1,4,More than RM3000,0,Hotel,2,3,No,Overseas,0,Group
22,Female,Students ,0,Single,1,1,RM2000 - RM2500,3,AirBnB,0,3,No,Overseas,0,Group
22,Male,Student,0,Single,0,1,below RM1000,1,AirBnB,0,0,No,Local,0,Group
44,Female,Cardiologist,7800,Married,0,1,RM1000 - RM1500,2,AirBnB,1,3,Yes,Overseas,0,Solo
27,Male,Fireman,2500,Married,0,1,below RM1000,0,Homestay,0,0,No,Local,0,Solo
23,Male,Student,0,Single,0,0,below RM1000,1,AirBnB,0,2,No,Local,0,Solo
30,Male,Dentist,7000,Married,0,1,RM1000 - RM1500,0,Hotel,0,1,No,Local,1,Solo
23,Male,STUDENT,0,Married,0,3,below RM1000,0,Hotel,1,2,No,Local,0,Group
23,Male,student,1200,Single,0,0,below RM1000,0,Hotel,0,0,No,Local,0,Solo
18,Male,Student,0,Single,0,1,below RM1000,1,Hotel,0,0,No,Local,0,Group
46,Female,Housewife,0,Married,1,1,RM2000 - RM2500,1,Hotel,0,3,Yes,Overseas,1,Group
32,Female,clerk,3200,Married,0,1,below RM1000,1,Hotel,0,0,Yes,Local,0,Group
48,Female,Unemployed ,1000,Married,1,1,below RM1000,1,Campsite,1,0,No,Overseas,0,Solo
26,Male,Model,3200,Married,0,1,RM1500 - RM2000,1,AirBnB,1,1,No,Local,1,Solo
26,Male,Teacher,3000,Single,0,1,below RM1000,0,Hotel,1,0,No,Local,0,Group
24,Male,student,1000,Single,0,1,below RM1000,1,Homestay,0,2,No,Local,0,Solo
46,Male,Internal Auditor,6700,Married,0,3,below RM1000,0,Hotel,3,0,No,Local,0,Group
21,Female,Executive / Life Planner,2000,Single,1,1,below RM1000,0,Hotel,1,0,No,Local,0,Solo
21,Male,Salesmen ,2500,Married,0,1,RM1000 - RM1500,0,Family House,0,0,No,Overseas,1,Group
23,Female,Student,0,Single,0,1,below RM1000,0,AirBnB,0,0,No,Local,0,Group
25,Female,Teacher,2509,Single,0,1,below RM1000,0,Hotel,1,0,No,Local,0,Solo
21,Male,Student ,1000,Single,1,4,below RM1000,4,AirBnB,1,4,No,Overseas,1,Group
32,Male,Minecraft player,5000,Single,1,2,RM1000 - RM1500,1,Family House,0,1,Yes,Overseas,0,Group
37,Female,Model,6700,Married,0,1,RM1500 - RM2000,1,Family House,2,3,No,Local,1,Solo
32,Male,Hacker,40009,Single,1,1,RM1000 - RM1500,0,Campsite,1,1,No,Local,2,Group
45,Male,Doctor,10500,Married,2,0,RM2500 - RM3000,2,Hotel,0,3,Yes,Overseas,1,Group
21,Male,student,2000,Single,1,1,RM1000 - RM1500,3,Homestay,0,3,No,Overseas,1,Solo
33,Female,Maid,1570,Single,0,0,below RM1000,0,Family House,1,3,No,Overseas,0,Solo
23,Male,STUDENT,0,Married,0,3,below RM1000,0,Hotel,1,2,No,Local,0,Group
26,Male,Teacher,3000,Single,0,1,below RM1000,0,Hotel,1,0,No,Local,0,Group
39,Female,Teacher,6700,Single,2,1,More than RM3000,2,Homestay,0,1,No,Local,1,Solo
24,Male,Student,0,Single,0,1,below RM1000,0,AirBnB,0,0,No,Local,0,Solo
21,Female,Student,0,Single,0,1,below RM1000,0,AirBnB,1,2,No,Local,0,Group
